1;"Melissa Barca";"RStudio 1.4 Preview: Multiple Source Columns";"2020-10-21"
1;"Rob Hewardt";"rstudio::global(2021)";"2020-10-16"
1;"Jonathan McPherson";"RStudio v1.4 Preview: Command Palette";"2020-10-14"
1;"Art Steinmetz, former Chairman, CEO and President of OppenheimerFunds";"Open Source Data Science in Investment Management";"2020-10-13"
1;"Andy Nicholls, Michael Rimler";"Using R to Drive Agility in Clinical Reporting: Questions and Answers";"2020-10-08"
1;"Kevin Ushey";"RStudio v1.4 Preview: Python Support";"2020-10-07"
1;"J.J. Allaire";"RStudio v1.4 Preview: Visual Markdown Editing";"2020-09-30"
1;"The RStudio Multiverse Team";"Introducing torch for R";"2020-09-29"
1;"Lou Bajuk";"RStudio Named Strong Performer in the Forrester Wave™: Notebook-Based Predictive Analytics and Machine Learning, Q3 2020";"2020-09-25"
1;"Carl Howe";"Ease Uncertainty by Boosting Your Data Science Team's Skills";"2020-09-23"
2;"Daniel Petzold, Carl Howe";"Learning Data Science with RStudio Cloud: A Student's Perspective";"2020-09-17"
2;"Rich Iannone and Curtis Kephart";"Announcing the 2020 RStudio Table Contest";"2020-09-15"
2;"Samantha Toet and Carl Howe";"Debunking R and Python Myths: Answering Your Questions";"2020-09-10"
2;"Carl Howe";"3 Fun Shiny Apps for Your Long Labor Day Weekend";"2020-09-04"
2;"Carl Howe";"3 Ways to Expand Your Data Science Compute Resources";"2020-08-27"
2;"Mike Garcia, ProCogia";"Why Package and Environment Management is Critical for Serious Data Science";"2020-08-20"
2;"Curtis Kephart and Lou Bajuk";"R and RStudio - The Interoperability Environment for Data Analytics";"2020-08-17"
2;"Dan Chen, Lander Analytics";"How to Deliver Maximum Value Using R & Python";"2020-08-13"
2;"Hadley Wickham";"rstudio::global() talk deadline extension";"2020-08-13"
2;"Lou Bajuk";"Do, Share, Teach, and Learn Data Science with RStudio Cloud";"2020-08-05"
